No,Provinsi,prayer_kk,prayer_ak1,prayer_ak2,prayer_ak3,transport,health,education,clothes_kk,clothes_ak1,clothes_ak2,clothes_ak3,food_kk,food_ak1,food_ak2,food_ak3,own_house,power_house
1,Aceh,"26,136","42,246","42,246","34,191","19,826","35,000","154,167","46,043","37,673","24,933","24,933","936,212","789,203","882,051","611,246","563,750","53,294"
2,Sumatera Utara,"21,231","24,467","24,467","22,849","19,826","35,000","154,167","61,200","63,987","25,388","25,388","895,955","755,268","844,123","584,963","563,750","53,294"
3,Sumatera Barat,"21,410","23,426","23,426","22,418","19,826","35,000","154,167","62,135","42,681","27,498","27,498","959,206","808,587","903,715","626,259","563,750","53,294"
4,Riau,"21,410","24,322","24,322","22,866","19,826","35,000","154,167","43,223","34,723","26,336","26,336","928,898","783,038","875,160","606,471","563,750","53,294"
5,Jambi,"21,478","24,508","24,508","22,993","19,826","35,000","154,167","57,967","30,801","16,931","16,931","906,005","763,740","853,592","591,524","563,750","53,294"
6,Sumatera Selatan,"22,358","28,655","28,655","25,507","19,826","35,000","154,167","45,901","32,687","22,509","22,509","904,931","762,835","852,580","590,823","563,750","53,294"
7,Bengkulu,"23,982","28,655","28,655","26,319","19,826","35,000","154,167","52,592","45,777","30,626","30,626","937,393","790,199","883,164","612,017","563,750","53,294"
8,Lampung,"21,366","26,338","26,338","23,852","19,826","35,000","154,167","58,469","29,772","26,387","26,387","897,289","756,393","845,380","585,833","563,750","53,294"
9,Kep. Bangka Belitung,"25,083","36,929","36,929","31,006","19,826","35,000","154,167","45,162","62,282","22,305","22,305","946,792","798,122","892,019","618,153","591,250","53,294"
10,Kep. Riau,"22,762","24,680","24,680","23,721","19,826","35,000","154,167","55,665","33,662","17,941","17,941","945,450","796,991","890,754","617,277","591,250","53,294"
11,DKI Jakarta,"21,186","26,965","26,965","24,076","19,826","35,000","154,167","97,030","84,000","43,281","43,281","1,051,535","886,418","990,703","686,539","646,250","53,294"
12,Jawa Barat,"25,401","22,620","22,620","24,010","19,826","35,000","154,167","52,233","37,736","16,243","16,243","915,927","772,104","862,940","598,002","563,750","53,294"
13,Jawa Tengah,"20,963","23,560","23,560","22,261","19,826","35,000","154,167","38,925","29,212","15,072","15,072","858,386","723,598","808,727","560,434","563,750","53,294"
14,DI Yogyakarta,"24,262","22,493","22,493","23,377","19,826","35,000","154,167","35,227","44,588","25,370","25,370","879,999","741,817","829,090","574,545","563,750","53,294"
15,Jawa Timur,"24,945","28,398","28,398","26,672","19,826","35,000","154,167","50,142","35,735","37,067","37,067","867,714","731,461","817,515","566,524","563,750","53,294"
16,Banten,"20,821","37,685","37,685","29,253","19,826","35,000","154,167","44,729","31,907","22,158","22,158","894,035","753,649","842,314","583,709","563,750","53,294"
17,Bali,"22,075","26,158","26,158","24,117","19,826","35,000","154,167","58,993","56,524","27,374","27,374","891,813","751,777","840,221","582,258","646,250","53,294"
18,Nusa Tenggara Barat,"21,347","22,997","22,997","22,172","19,826","35,000","154,167","28,678","33,436","16,464","16,464","920,855","776,258","867,583","601,220","646,250","53,294"
19,Nusa Tenggara Timur,"20,291","25,979","25,979","23,135","19,826","35,000","154,167","57,647","45,755","31,132","31,132","971,763","819,172","915,545","634,457","646,250","53,294"
20,Kalimantan Barat,"25,330","28,585","28,585","26,957","19,826","35,000","154,167","65,955","72,668","25,828","25,828","958,080","807,637","902,654","625,523","618,750","53,294"
21,Kalimantan Tengah,"24,449","31,444","31,444","27,946","19,826","35,000","154,167","46,213","51,528","25,742","25,742","930,772","784,617","876,925","607,694","618,750","53,294"
22,Kalimantan Selatan,"21,780","31,444","31,444","26,612","19,826","35,000","154,167","47,576","54,365","24,705","24,705","921,208","776,555","867,915","601,450","618,750","53,294"
23,Kalimantan Timur,"19,664","32,340","32,340","26,002","19,826","35,000","154,167","46,470","27,566","13,363","13,363","955,634","805,576","900,349","623,926","618,750","53,294"
24,Kalimantan Utara,"22,209","28,040","28,040","25,124","19,826","35,000","154,167","41,972","36,225","25,718","25,718","925,182","779,905","871,659","604,044","618,750","53,294"
